date,round,total_sale,first_num,first_amount,carry_over,4등 당첨게임 수,5등 당첨게임 수,fourth_fifth_num,log_total_sale,cf_total_sale,cf_total_sale_adjusted
2007-12-15,263.0,39677128000.0,6.0,1551704900,0.0,"50,490","864,303",914793,24.404040737711338,,39677128000.0
2007-12-22,264.0,39783178000.0,7.0,1344889200,0.0,"50,096","840,243",890339,24.406709996572904,,39783178000.0
2007-12-29,265.0,40913922000.0,8.0,1200838575,0.0,"52,966","889,156",942122,24.43473623327327,,40913922000.0
2008-01-05,266.0,41937067000.0,3.0,3207211700,0.0,"58,820","986,495",1045315,24.459435926736784,,41937067000.0
2008-01-12,267.0,41835853000.0,3.0,3257663300,0.0,"55,101","925,922",981023,24.457019536112018,,41835853000.0
2008-01-19,268.0,41213802000.0,7.0,1350954515,0.0,"61,857","969,153",1031010,24.44203903720192,,41213802000.0
2008-01-26,269.0,41357619000.0,5.0,1961399940,0.0,"50,514","866,762",917276,24.44552249779124,,41357619000.0
2008-02-02,270.0,41845351000.0,5.0,1927830060,0.0,"59,807","971,485",1031292,24.457246540495007,,41845351000.0
2008-02-09,271.0,40879633000.0,6.0,1565918150,0.0,"59,418","956,127",1015545,24.433897805306454,,40879633000.0
2008-02-16,272.0,43310674000.0,9.0,1104622800,0.0,"63,219","1,017,199",1080418,24.49166495427767,,43310674000.0
2008-02-23,273.0,42816211000.0,3.0,3339543100,0.0,"56,192","942,078",998270,24.480182629504306,,42816211000.0
2008-03-01,274.0,42631711000.0,4.0,2505085575,0.0,"57,315","923,057",980372,24.475864202972524,,42631711000.0
2008-03-08,275.0,42329813000.0,1.0,10044066900,0.0,"51,657","884,959",936616,24.468757473798803,,42329813000.0
2008-03-15,276.0,42567610000.0,3.0,3312569000,0.0,"59,894","944,192",1004086,24.47435947238682,,42567610000.0
2008-03-22,277.0,41868708000.0,3.0,3272627800,0.0,"55,271","914,243",969514,24.457804559085552,,41868708000.0
2008-03-29,278.0,41088180000.0,3.0,3186530000,0.0,"55,643","922,288",977931,24.438986325845434,,41088180000.0
2008-04-05,279.0,41130542000.0,5.0,1914205320,0.0,"55,421","922,712",978133,24.44001679683107,,41130542000.0
2008-04-12,280.0,40673999000.0,7.0,1355258529,0.0,"53,915","905,130",959045,24.428854880037562,,40673999000.0
2008-04-19,281.0,40800514000.0,6.0,1554683200,0.0,"74,543","970,685",1045228,24.431960516316387,,40800514000.0
2008-04-26,282.0,41051175000.0,7.0,1322052643,0.0,"66,297","1,020,328",1086625,24.43808529606492,,41051175000.0
2008-05-03,283.0,40133316000.0,3.0,3137224600,0.0,"52,989","876,107",929096,24.41547264925924,,40133316000.0
