,회차,예측일,예측_총판매금액,신뢰구간_하한,신뢰구간_상한
0,1174,2025-05-31,117528245209.21448,112536931835.10867,122519558583.32028
1,1175,2025-06-07,116143276925.181,110905950834.13669,121380603016.22531
2,1176,2025-06-14,116292072464.9481,110825240749.74629,121758904180.14992
3,1177,2025-06-21,114820036143.17865,108975377995.54773,120664694290.80957
4,1178,2025-06-28,115114181072.47168,108760152609.87662,121468209535.06674
5,1179,2025-07-05,114864852544.55098,108211798535.94415,121517906553.1578
6,1180,2025-07-12,113606571401.09526,106654647413.35782,120558495388.8327
7,1181,2025-07-19,114340612551.48596,107067992974.65839,121613232128.31354
8,1182,2025-07-26,113696203493.68079,106112599081.18068,121279807906.1809
9,1183,2025-08-02,112421243155.93277,104559071153.34818,120283415158.51736
10,1184,2025-08-09,113377376064.96783,105241482141.20874,121513269988.72693
11,1185,2025-08-16,115326227459.60576,106920589303.23648,123731865615.97504
12,1186,2025-08-23,115898275204.54008,107232582949.19092,124563967459.88925
13,1187,2025-08-30,117643699980.51997,108727818456.36418,126559581504.67577
14,1188,2025-09-06,117674175864.7789,108513853339.13033,126834498390.42747
15,1189,2025-09-13,119104876135.7812,109705906221.51715,128503846050.04526
16,1190,2025-09-20,115700828513.81984,106069509778.84854,125332147248.79114
17,1191,2025-09-27,122229081789.28983,112371106373.85147,132087057204.72818
18,1192,2025-10-04,118458760005.88911,108379021323.75691,128538498688.02132
19,1193,2025-10-11,118550207730.52377,108253437575.36562,128846977885.68193
20,1194,2025-10-18,117559736480.37648,107050490382.31664,128068982578.43633
21,1195,2025-10-25,119141227863.42642,108423729322.08122,129858726404.77162
22,1196,2025-11-01,118928581576.28307,108006768186.17998,129850394966.38615
23,1197,2025-11-08,117198250871.59843,106075875949.28717,128320625793.9097
24,1198,2025-11-15,116700039333.9462,105380667676.12886,128019410991.76353
25,1199,2025-11-22,117235615701.14056,105722616262.19376,128748615140.08737
26,1200,2025-11-29,115717963819.20923,104014535057.1355,127421392581.28296
27,1201,2025-12-06,116709760647.3296,104818953064.3944,128600568230.26482
28,1202,2025-12-13,115215391639.22884,103140114108.03923,127290669170.41844
29,1203,2025-12-20,118090436342.04698,105833464238.20673,130347408445.88724
30,1204,2025-12-27,124645410536.80504,112209397650.53424,137081423423.07584
31,1205,2026-01-03,126822340455.91919,114209828422.43019,139434852489.40817
32,1206,2026-01-10,120439072509.03725,107652497565.26619,133225647452.8083
33,1207,2026-01-17,120627561603.77727,107669261504.49268,133585861703.06186
34,1208,2026-01-24,126316040478.83934,113188261327.92314,139443819629.75555
35,1209,2026-01-31,124685801071.89276,111390703187.6858,137980898956.09973
36,1210,2026-02-07,129323318255.02751,115862981343.62733,142783655166.42767
37,1211,2026-02-14,127495853127.99309,113872281185.33115,141119425070.65503
38,1212,2026-02-21,125178056281.01132,111393182134.9622,138962930427.06042
39,1213,2026-02-28,126461518780.03336,112517208195.25267,140405829364.81403
40,1214,2026-03-07,124101983509.07211,110000038956.30501,138203928061.83923
41,1215,2026-03-14,125555759419.25137,111297923581.9535,139813595256.54922
42,1216,2026-03-21,123936981396.22154,109524940411.84787,138349022380.5952
43,1217,2026-03-28,121949326251.4434,107384712701.26755,136513939801.61926
44,1218,2026-04-04,121392907161.72021,106677302844.84666,136108511478.59377
45,1219,2026-04-11,122611082062.27966,107746020576.69429,137476143547.86505
46,1220,2026-04-18,120577103755.1799,105564072897.8796,135590134612.48021
47,1221,2026-04-25,122583061644.58672,107423505646.16339,137742617643.01004
