,회차,예측일,예측_총판매금액,신뢰구간_하한,신뢰구간_상한
0,1174,2025-05-31,122560377882.57301,117682039910.39525,127438715854.75078
1,1175,2025-06-07,121916657473.87187,116611362672.31696,127221952275.42679
2,1176,2025-06-14,122007872323.15749,116487733887.27533,127528010759.03964
3,1177,2025-06-21,121157854759.4098,115424741847.77936,126890967671.04025
4,1178,2025-06-28,121057729753.1291,115102298259.76088,127013161246.49733
5,1179,2025-07-05,121264306053.37653,115144337151.4856,127384274955.26746
6,1180,2025-07-12,120591894065.07762,114290857490.78523,126892930639.37001
7,1181,2025-07-19,120662041939.16394,114202651195.93275,127121432682.39513
8,1182,2025-07-26,120683127427.38937,114057512061.7047,127308742793.07405
9,1183,2025-08-02,119866134283.40196,113088924956.84673,126643343609.9572
10,1184,2025-08-09,120503008201.30478,113569698807.27133,127436317595.33823
11,1185,2025-08-16,121212092516.3469,114132398959.65674,128291786073.03705
12,1186,2025-08-23,121705473876.29865,114477588834.86153,128933358917.73576
13,1187,2025-08-30,123116250284.0727,115746935169.89496,130485565398.25043
14,1188,2025-09-06,123303791359.85437,115792771695.63895,130814811024.0698
15,1189,2025-09-13,124146877464.23842,116499089460.9632,131794665467.51364
16,1190,2025-09-20,122247999095.02916,114464041746.10164,130031956443.95668
17,1191,2025-09-27,124808072850.28938,116891704329.37927,132724441371.1995
18,1192,2025-10-04,123415264678.48138,115367554270.39854,131462975086.56422
19,1193,2025-10-11,123428627014.05795,115252555162.928,131604698865.18791
20,1194,2025-10-18,123038171804.02544,114735039589.97107,131341304018.0798
21,1195,2025-10-25,123648423718.74237,115220683137.43108,132076164300.05367
22,1196,2025-11-01,123603217375.67575,115052262673.61583,132154172077.73567
23,1197,2025-11-08,123237541859.43437,114565454756.92336,131909628961.94539
24,1198,2025-11-15,123204931842.40994,114413120736.07149,131996742948.7484
25,1199,2025-11-22,123170912859.80162,114261191208.16641,132080634511.43683
26,1200,2025-11-29,122255470094.05614,113229216912.05795,131281723276.05432
27,1201,2025-12-06,122099608400.97878,112958435928.04164,131240780873.91591
28,1202,2025-12-13,121327787486.95009,112073022768.37224,130582552205.52794
29,1203,2025-12-20,123077225042.04729,113710324129.06587,132444125955.0287
30,1204,2025-12-27,127096727216.31065,117618954825.39029,136574499607.23102
31,1205,2026-01-03,127319063239.74265,117731750243.86652,136906376235.61877
32,1206,2026-01-10,124600131552.32974,114904476994.33694,134295786110.32254
33,1207,2026-01-17,125460472271.36223,115657703801.92789,135263240740.79657
34,1208,2026-01-24,128205585667.46877,118296837218.38612,138114334116.5514
35,1209,2026-01-31,127263793571.94878,117250205586.2522,137277381557.64536
36,1210,2026-02-07,128733915341.98485,118616559271.48784,138851271412.48187
37,1211,2026-02-14,128195595996.10977,117975537118.25533,138415654873.96423
38,1212,2026-02-21,127621107046.18665,117299357955.86438,137942856136.5089
39,1213,2026-02-28,127543448184.30403,117121008321.1359,137965888047.47217
40,1214,2026-03-07,126891972915.26054,116369800012.97606,137414145817.54503
41,1215,2026-03-14,126830386271.90858,116209421360.14789,137451351183.66928
42,1216,2026-03-21,126571438064.09044,115852588037.57312,137290288090.60776
43,1217,2026-03-28,125550869320.03493,114735022861.07886,136366715778.991
44,1218,2026-04-04,124745450053.02391,113833467081.31087,135657433024.73695
45,1219,2026-04-11,125189595415.02634,114182317320.20058,136196873509.8521
46,1220,2026-04-18,124843670311.22385,113741913653.90973,135945426968.53796
47,1221,2026-04-25,125500399015.27405,114304962182.332,136695835848.2161
48,1222,2026-05-02,124937990305.4014,113649649831.07707,136226330779.72572
49,1223,2026-05-09,124470606350.2863,113090121313.10591,135851091387.46669
50,1224,2026-05-16,126069485141.23131,114597595093.58742,137541375188.87518
51,1225,2026-05-23,125556371390.04187,113993799321.8104,137118943458.27335
52,1226,2026-05-30,125615531359.12482,113718821651.6617,137512241066.58795
53,1227,2026-06-06,125121127263.52582,113053435020.28967,137188819506.76196
