,회차,예측일,예측_총판매금액,신뢰구간_하한,신뢰구간_상한
0,1174,2025-05-31,122140092204.9299,117115951041.14885,127164233368.71095
1,1175,2025-06-07,121580106356.83614,116092448826.99954,127067763886.67273
2,1176,2025-06-14,122094749208.2272,116334863668.3766,127854634748.0778
3,1177,2025-06-21,121564857079.35335,115468287419.38802,127661426739.31868
4,1178,2025-06-28,120819348740.9074,114323623948.4294,127315073533.38539
5,1179,2025-07-05,120992987857.38501,114081804711.90285,127904171002.86717
6,1180,2025-07-12,120182793312.24931,112936283951.17397,127429302673.32466
7,1181,2025-07-19,120714111814.02449,113154066296.76303,128274157331.28595
8,1182,2025-07-26,120649157801.81422,112777491113.39525,128520824490.2332
9,1183,2025-08-02,119836886423.19408,111660263983.80885,128013508862.5793
10,1184,2025-08-09,120471963143.61006,112002576989.27098,128941349297.94914
11,1185,2025-08-16,121260955975.75107,112511568222.59908,130010343728.90306
12,1186,2025-08-23,122015837764.35048,112994967569.33636,131036707959.3646
13,1187,2025-08-30,123233911277.64487,113948604273.79288,132519218281.49686
14,1188,2025-09-06,123921520956.60077,114378932143.95241,133464109769.24913
15,1189,2025-09-13,124035926305.4434,114243046643.7995,133828805967.08731
16,1190,2025-09-20,123068236572.16223,113031445112.44539,133105028031.87907
17,1191,2025-09-27,125328238465.21321,115053264661.2907,135603212269.13573
18,1192,2025-10-04,123548423499.13007,113040607091.07455,134056239907.18558
19,1193,2025-10-11,123438400917.90909,112702796573.62587,134174005262.1923
20,1194,2025-10-18,123119670709.79057,112161032836.49678,134078308583.08437
21,1195,2025-10-25,123811689321.30327,112634471212.1647,134988907430.44183
22,1196,2025-11-01,123624342154.17033,112232730549.02615,135015953759.31451
23,1197,2025-11-08,122980623913.55826,111378577140.1849,134582670686.93161
24,1198,2025-11-15,122945259842.29688,111136528908.94809,134753990775.64566
25,1199,2025-11-22,123084709999.71829,111072852054.25517,135096567945.18141
26,1200,2025-11-29,122160033274.98213,109948426443.51555,134371640106.44872
27,1201,2025-12-06,122672399096.03088,110264258039.96338,135080540152.09839
28,1202,2025-12-13,121183693654.17804,108582083088.6318,133785304219.72427
29,1203,2025-12-20,123279615362.89053,110487461169.28783,136071769556.49324
30,1204,2025-12-27,128487055598.88869,115507154696.09589,141466956501.6815
31,1205,2026-01-03,127528139049.60376,114363168592.65822,140693109506.54932
32,1206,2026-01-10,125485534337.28955,112138060131.89871,138833008542.6804
33,1207,2026-01-17,126458011833.33948,112930495875.53363,139985527791.14532
34,1208,2026-01-24,128436209240.59268,114731016503.55374,142141401977.63162
35,1209,2026-01-31,127768744866.2533,113888149492.99138,141649340239.5152
36,1210,2026-02-07,130378025219.72176,116324216198.80316,144431834240.64035
37,1211,2026-02-14,128918852266.82904,114693938625.17114,143143765908.48694
38,1212,2026-02-21,128233407713.16887,113839423268.50069,142627392157.83707
39,1213,2026-02-28,128195387672.80891,113634295397.42105,142756479948.19678
40,1214,2026-03-07,127677862161.90308,112951558202.02568,142404166121.7805
41,1215,2026-03-14,127578374637.23235,112688692021.58702,142468057252.8777
42,1216,2026-03-21,127110053038.15135,112058765104.21132,142161340972.09137
43,1217,2026-03-28,126255823903.02766,111044647467.83449,141467000338.22086
44,1218,2026-04-04,125518336317.78108,110148934617.84515,140887738017.717
45,1219,2026-04-11,125873861017.00551,110347846438.67685,141399875595.33417
46,1220,2026-04-18,125430516792.33626,109749453411.31827,141111580173.35425
47,1221,2026-04-25,126058750707.5579,110224156654.2742,141893344760.8416
48,1222,2026-05-02,125528247395.43013,109541597061.32907,141514897729.5312
49,1223,2026-05-09,125263756829.19354,109126482927.52838,141401030730.8587
50,1224,2026-05-16,126626577228.42087,110340072721.62102,142913081735.22073
