연도,회차,추첨일자,1등 당첨게임 수,1등 1게임당 당첨금액,2등 당첨게임 수,2등 1게임당 당첨금액,3등 당첨게임 수,3등 1게임당 당첨금액,4등 당첨게임 수,4등 1게임당 당첨금액,5등 당첨게임 수,5등 1게임당 당첨금액,1,2,3,4,5,6,보너스,총판매금액,이월여부
2025,1173 ,2025.5.24,24,"1,179,946,063",94,"50,210,471","3,139","1,503,595","163,678","50,000","2,689,832","5,000",1,5,18,20,30,35,3,118782668000 ,0
2025,1172 ,2025.5.17,13,"2,203,004,452",98,"48,705,881","3,059","1,560,372","152,897","50,000","2,590,472","5,000",7,9,24,40,42,44,45,117565241000 ,0
2025,1171 ,2025.5.10,21,"1,128,345,286",148,"26,683,842","5,317","742,752","211,503","50,000","3,094,806","5,000",3,6,7,11,12,17,19,115285696000 ,0
2025,1170 ,2025.5.3,20,"1,386,550,969",103,"44,872,200","5,668","815,427","163,866","50,000","2,637,401","5,000",3,13,28,34,38,42,25,116709995000 ,0
2025,1169 ,2025.4.26,10,"2,852,735,813",112,"42,451,426","3,244","1,465,648","160,483","50,000","2,668,194","5,000",5,12,24,26,39,42,20,118803195000 ,0
2025,1168 ,2025.4.19,13,"2,136,635,914",74,"62,559,160","3,514","1,317,410","166,163","50,000","2,712,545","5,000",9,21,24,30,33,37,29,117811795000 ,0
2025,1167 ,2025.4.12,10,"2,884,087,913",69,"69,663,960","2,942","1,633,859","157,094","50,000","2,614,372","5,000",8,23,31,35,39,40,24,118762131000 ,0
2025,1166 ,2025.4.5,14,"2,072,319,938",80,"60,442,665","2,803","1,725,085","147,837","50,000","2,456,735","5,000",14,23,25,27,29,42,16,116717661000 ,0
2025,1165 ,2025.3.29,13,"2,192,485,270",91,"52,202,031","3,173","1,497,128","158,014","50,000","2,630,455","5,000",6,7,27,29,38,45,17,118112106000 ,0
2025,1164 ,2025.3.22,13,"2,193,092,164",76,"62,522,365","3,470","1,369,366","170,045","50,000","2,807,095","5,000",17,18,23,25,38,39,22,121102645000 ,0
2025,1163 ,2025.3.15,15,"1,936,891,150",75,"64,563,039","3,386","1,430,074","168,204","50,000","2,795,027","5,000",2,13,15,16,33,43,4,122246316000 ,0
2025,1162 ,2025.3.8,36,"823,931,021",78,"63,379,310","4,752","1,040,317","160,953","50,000","2,538,565","5,000",20,21,22,25,28,29,6,120578328000 ,0
2025,1161 ,2025.3.1,16,"1,792,657,969",117,"40,858,302","4,107","1,163,970","181,457","50,000","2,859,815","5,000",2,12,20,24,34,42,37,123230590000 ,0
2025,1160 ,2025.2.22,12,"2,509,359,875",84,"59,746,664","3,176","1,580,202","160,611","50,000","2,681,692","5,000",7,13,18,36,39,45,19,123177536000 ,0
2025,1159 ,2025.2.15,23,"1,284,854,250",110,"44,775,224","3,742","1,316,215","177,373","50,000","2,826,061","5,000",3,9,27,28,38,39,7,124802304000 ,0
2025,1158 ,2025.2.8,21,"1,394,358,197",86,"56,747,136","3,032","1,609,583","155,209","50,000","2,610,120","5,000",21,25,27,32,37,38,20,119706159000 ,0
2025,1157 ,2025.2.1,12,"2,257,842,157",141,"32,026,130","4,549","992,677","201,847","50,000","3,100,779","5,000",5,7,12,20,25,26,28,123443439000 ,0
2025,1156 ,2025.1.25,21,"1,505,207,090",73,"72,167,464","3,494","1,507,792","162,883","50,000","2,706,409","5,000",30,31,34,39,41,45,7,127643987000 ,0
2025,1155 ,2025.1.18,7,"4,066,375,179",78,"60,821,851","3,171","1,496,091","160,366","50,000","2,654,046","5,000",10,16,19,27,37,38,13,118482730000 ,0
2025,1154 ,2025.1.11,15,"1,854,965,425",62,"74,796,993","3,190","1,453,735","154,785","50,000","2,559,114","5,000",4,8,22,26,32,38,27,115268257000 ,0
2025,1153 ,2025.1.4,15,"2,027,312,925",79,"64,155,473","3,506","1,445,603","167,692","50,000","2,848,165","5,000",1,9,10,13,35,44,5,126343367000 ,0
2024,1152 ,2024.12.28,35,"874,349,668",79,"64,561,685","3,354","1,520,684","146,890","50,000","2,440,804","5,000",30,31,32,35,36,37,5,120703009000 ,0
2024,1151 ,2024.12.21,17,"1,620,503,030",102,"45,013,974","3,351","1,370,166","163,055","50,000","2,635,014","5,000",2,3,9,15,27,29,8,116118444000 ,0
2024,1150 ,2024.12.14,17,"1,570,620,309",226,"19,690,668","3,413","1,303,865","166,846","50,000","2,626,598","5,000",8,9,18,35,39,45,25,114152034000 ,0
2024,1149 ,2024.12.7,17,"1,613,380,765",74,"61,773,588","2,924","1,563,354","145,209","50,000","2,448,589","5,000",8,15,19,21,32,36,38,112146718000 ,0
2024,1148 ,2024.11.30,13,"2,073,332,308",97,"46,311,547","3,082","1,457,567","154,963","50,000","2,581,682","5,000",3,6,13,15,16,22,32,113188640000 ,0
2024,1147 ,2024.11.23,8,"3,323,422,079",83,"53,388,307","3,588","1,235,014","173,036","50,000","2,750,379","5,000",7,11,24,26,27,37,32,115707061000 ,0
2024,1146 ,2024.11.16,11,"2,526,476,353",72,"64,331,574","3,030","1,528,672","158,146","50,000","2,677,017","5,000",6,11,17,19,40,43,28,116694743000 ,0
2024,1145 ,2024.11.9,9,"3,051,630,084",63,"72,657,860","3,312","1,382,079","164,055","50,000","2,647,054","5,000",2,11,31,33,37,44,32,116115162000 ,0
2024,1144 ,2024.11.2,18,"1,489,347,375",94,"47,532,364","3,626","1,232,224","172,239","50,000","2,766,594","5,000",3,4,12,15,26,34,6,116378514000 ,0
2024,1143 ,2024.10.26,11,"2,545,657,023",90,"51,855,977","3,154","1,479,721","156,400","50,000","2,612,029","5,000",10,16,17,27,28,36,6,116432896000 ,0
2024,1142 ,2024.10.19,9,"3,117,517,709",67,"69,795,173","2,841","1,645,997","146,936","50,000","2,474,033","5,000",2,8,28,30,37,41,22,114254355000 ,0
2024,1141 ,2024.10.12,11,"2,457,758,285",100,"45,058,902","3,371","1,336,663","165,233","50,000","2,718,563","5,000",7,11,12,21,26,35,20,115803173000 ,0
2024,1140 ,2024.10.5,12,"2,279,823,938",83,"54,935,517","3,345","1,363,124","158,343","50,000","2,644,989","5,000",7,10,22,29,31,38,15,115238556000 ,0
2024,1139 ,2024.9.28,13,"2,167,490,972",75,"62,616,406","3,240","1,449,454","163,236","50,000","2,645,260","5,000",5,12,15,30,37,40,18,117915887000 ,0
2024,1138 ,2024.9.21,14,"1,902,656,786",50,"88,790,650","2,865","1,549,576","145,690","50,000","2,404,999","5,000",14,16,19,20,29,34,35,109651510000 ,0
2024,1137 ,2024.9.14,14,"2,023,447,688",111,"42,534,937","3,323","1,420,818","163,296","50,000","2,737,836","5,000",4,9,12,15,33,45,26,119250007000 ,0
